"nr_caf";"categoria_renda";"ds_tipo_renda";"ds_produto";"vl_renda_auferida";"vl_renda_estimada"
2186;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Outras Lavouras Temporarias;785871.45;785871.45
2188;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Café;397500.00;397500.00
2190;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;12000.00;12000.00
2190;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Fumo em Folha Seca - Kg;101659.15;101659.15
2190;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENTADORIA POR TEMPO DE CONTRIBUICAO;41703.00;41703.00
2190;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego temporário no meio urbano;31700.00;50952.86
2191;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Outros Animais Corte;7000.00;7000.00
2193;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Produtos Olericolas em Geral;144000.00;144000.00
2193;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;36712.00;36712.00
2195;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;600.00;600.00
2195;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;1200.00;1200.00
2195;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;400.00;400.00
2195;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;2500.00;2500.00
2195;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;7200.00;7200.00
2196;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;55800.00;55800.00
2197;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Fumo em Folha Seca - Kg;126294.47;126294.47
2197;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho em Grão - Kg;25258.89;25258.89
