"nr_caf";"categoria_renda";"ds_tipo_renda";"ds_produto";"vl_renda_auferida";"vl_renda_estimada"
2116;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Outros Benefícios Sociais;17160.00;17160.00
2117;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;2500.00;2500.00
2117;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;400.00;400.00
2117;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;10000.00;10000.00
2117;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;32780.00;32780.00
2119;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Outras Lavouras Temporarias;15533.00;15533.00
2119;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;8069.00;8069.00
2122;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Café Arábica em Grão (Verde/Não-Torrado) - Kg;70000.00;70000.00
2122;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENTADORIA POR IDADE - RURAL;17686.00;17686.00
2124;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Mandioca;3000.00;3000.00
2124;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Avicultura não integrada Corte;5400.00;5400.00
2124;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;126600.00;126600.00
2124;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;26913.00;26913.00
2124;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Suinocultura Não Integrada - Carne;4000.00;4000.00
2124;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENT. TEMPO DE SERVICO DE PROFESSOR;60000.00;60000.00
2125;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão Preto em Grão - Kg;27384.00;27384.00
2125;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja em Grão - Kg;122503.28;122503.28
2125;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENTADORIA POR IDADE - RURAL;39256.00;39256.00
2126;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Avicultura Integrada Corte;381522.00;381522.00
2126;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria ou pensão INSS;90129.67;90129.67
2128;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Pecuária;Bovinos - Corte;250000.00;250000.00
2129;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;400.00;400.00
2129;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Banana;300.00;300.00
2129;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;500.00;500.00
2129;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Laranja;300.00;300.00
2129;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Mandioca;300.00;300.00
2129;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Ovos;200.00;200.00
2129;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Café Arábica em Grão (Verde/Não-Torrado) - Kg;6000.00;6000.00
2129;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Tangerina, Bergamota, Mexerica, Ponkan, etc - Kg;2000.00;2000.00
2129;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;AMP. SOCIAL PESSOA PORTADORA DEFICIENCIA;17792.00;17792.00
2129;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENTADORIA POR IDADE - RURAL;35584.00;35584.00
2131;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Avicultura;Galinhas/Frangos;1800.00;1800.00
2131;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão-Caupi, Fradinho, Corda, Moita, Macássar ou Macassa, Miúdo em Grão - Kg;1000.00;1000.00
2131;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Ovinocaprinocultura;Ovinocaprinocultura - Corte;4000.00;4000.00
2131;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Suinocultura;Suínos;4000.00;4000.00
2132;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;600.00;600.00
2132;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;500.00;500.00
2134;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Café;222100.40;222100.40
2135;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;220.00;220.00
2135;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;1650.00;1650.00
2135;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Serviços eventuais;2900.00;2900.00
2136;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;100.00;100.00
2136;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Banana;5000.00;5000.00
2136;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;594.00;594.00
2137;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Uva (Vinho, Suco ou Passas) - Kg;75000.00;80000.00
2137;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria ou pensão INSS;18356.00;19734.00
2137;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENT. POR IDADE - EMPREGADOR RURAL;19734.00;19734.00
2138;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;8116.93;8116.93
2139;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;38931.47;38931.47
2139;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;30500.00;30500.00
2139;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Leite;62157.23;62157.23
2142;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Banana;1260.00;1260.00
