municipio,nome_municipio_uf,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,idhm,idhm_long,idhm_educ,idhm_renda,idhm_educ_sub_esc,idhm_educ_sub_freq
5204300,Caçu (GO),0.215,"0,158","0,275","0,213",0.73,"0,840","0,599","0,774","0,449","0,691"
5205406,Ceres (GO),0.189,"0,093","0,222","0,251",0.77500000000000002,"0,842","0,733","0,753","0,585","0,821"
5205455,Cezarina (GO),0.24199999999999999,"0,011","0,355","0,359",0.71099999999999997,"0,807","0,652","0,684","0,516","0,733"
5205471,Chapadão do Céu (GO),0.17299999999999999,"0,002","0,336","0,182",0.74199999999999999,"0,837","0,652","0,748","0,552","0,708"
5205521,Colinas do Sul (GO),0.317,"0,100","0,421","0,430",0.65800000000000003,"0,820","0,549","0,633","0,421","0,627"
5205901,Corumbaíba (GO),0.26200000000000001,"0,156","0,351","0,278",0.69799999999999995,"0,831","0,582","0,703","0,449","0,663"
5206305,Cristianópolis (GO),0.19600000000000001,"0,038","0,275","0,274",0.68799999999999994,"0,838","0,554","0,703","0,393","0,657"
5206404,Crixás (GO),0.27700000000000002,"0,136","0,369","0,325",0.70799999999999996,"0,805","0,625","0,706","0,495","0,703"
5206503,Cromínia (GO),0.246,"0,060","0,343","0,336",0.70599999999999996,"0,803","0,634","0,692","0,456","0,747"
5206602,Cumari (GO),0.17299999999999999,"0,045","0,236","0,239",0.73699999999999999,"0,819","0,657","0,744","0,514","0,742"
5205703,Córrego do Ouro (GO),0.188,"0,005","0,269","0,291",0.68600000000000005,"0,803","0,578","0,696","0,408","0,688"
5206701,Damianópolis (GO),0.379,"0,198","0,414","0,524",0.65400000000000003,"0,815","0,558","0,614","0,370","0,686"
5206800,Damolândia (GO),0.22700000000000001,"0,031","0,325","0,326",0.69699999999999995,"0,819","0,600","0,688","0,383","0,751"
5206909,Davinópolis (GO),0.29399999999999998,"0,253","0,231","0,398",0.71599999999999997,"0,862","0,606","0,702","0,418","0,730"
5207105,Diorama (GO),0.25600000000000001,"0,080","0,260","0,429",0.72899999999999998,"0,841","0,696","0,663","0,465","0,851"
5208301,Divinópolis de Goiás (GO),0.313,"0,106","0,424","0,409",0.65300000000000002,"0,813","0,550","0,624","0,379","0,663"
5207253,Doverlândia (GO),0.30599999999999999,"0,073","0,447","0,397",0.66800000000000004,"0,840","0,518","0,684","0,335","0,645"
5207352,Edealina (GO),0.28199999999999997,"0,098","0,328","0,420",0.70199999999999996,"0,808","0,594","0,722","0,405","0,719"
5207402,Edéia (GO),0.27500000000000002,"0,189","0,277","0,360",0.73899999999999999,"0,826","0,648","0,755","0,492","0,743"
5207501,Estrela do Norte (GO),0.224,"0,066","0,302","0,303",0.70699999999999996,"0,848","0,593","0,703","0,411","0,712"
5207535,Faina (GO),0.34899999999999998,"0,232","0,376","0,439",0.65,"0,799","0,534","0,644","0,344","0,666"
5207600,Fazenda Nova (GO),0.29799999999999999,"0,093","0,445","0,357",0.68500000000000005,"0,831","0,576","0,671","0,396","0,695"
5207808,Firminópolis (GO),0.22500000000000001,"0,065","0,325","0,284",0.73199999999999998,"0,838","0,688","0,681","0,488","0,817"
5207907,Flores de Goiás (GO),0.48199999999999998,"0,339","0,541","0,566",0.59699999999999998,"0,799","0,457","0,583","0,320","0,546"
5208103,Formoso (GO),0.32200000000000001,"0,206","0,390","0,371",0.71499999999999997,"0,834","0,639","0,686","0,478","0,738"
5208152,Gameleira de Goiás (GO),0.22500000000000001,"0,020","0,291","0,363",0.65900000000000003,"0,828","0,499","0,692","0,294","0,651"
5208509,Goiandira (GO),0.22800000000000001,"0,190","0,234","0,261",0.76,"0,849","0,727","0,711","0,567","0,823"
5208608,Goianésia (GO),0.28699999999999998,"0,262","0,297","0,303",0.72699999999999998,"0,840","0,636","0,719","0,472","0,739"
5209101,Goiatuba (GO),0.33,"0,365","0,301","0,323",0.72499999999999998,"0,825","0,627","0,737","0,487","0,712"
5208905,Goiás (GO),0.29899999999999999,"0,197","0,363","0,336",0.70899999999999996,"0,805","0,621","0,713","0,468","0,716"
5209150,Gouvelândia (GO),0.35,"0,262","0,426","0,361",0.67400000000000004,"0,806","0,559","0,680","0,378","0,680"
5209408,Guarani de Goiás (GO),0.40100000000000002,"0,116","0,501","0,586",0.63700000000000001,"0,814","0,557","0,569","0,375","0,679"
5209291,Guaraíta (GO),0.24099999999999999,"0,129","0,276","0,317",0.68700000000000006,"0,816","0,625","0,637","0,379","0,803"
5209457,Guarinos (GO),0.32,"0,065","0,350","0,544",0.65200000000000002,"0,815","0,563","0,604","0,304","0,766"
5209606,Heitoraí (GO),0.35599999999999998,"0,386","0,389","0,294",0.69399999999999995,"0,814","0,620","0,661","0,421","0,752"
5209804,Hidrolina (GO),0.29899999999999999,"0,213","0,325","0,359",0.67700000000000005,"0,824","0,577","0,652","0,384","0,707"
5209903,Iaciara (GO),0.42599999999999999,"0,240","0,560","0,477",0.64400000000000002,"0,826","0,527","0,615","0,379","0,621"
5209937,Inaciolândia (GO),0.314,"0,338","0,326","0,279",0.69199999999999995,"0,822","0,591","0,683","0,404","0,714"
5209952,Indiara (GO),0.28299999999999997,"0,163","0,345","0,340",0.70099999999999996,"0,837","0,593","0,694","0,418","0,706"
5210109,Ipameri (GO),0.27800000000000002,"0,247","0,269","0,318",0.70099999999999996,"0,823","0,588","0,711","0,451","0,672"
5210158,Ipiranga de Goiás (GO),0.29199999999999998,"0,234","0,322","0,321",0.69599999999999995,"0,816","0,642","0,643","0,408","0,805"
5210208,Iporá (GO),0.20100000000000001,"0,071","0,251","0,282",0.74299999999999999,"0,840","0,667","0,731","0,497","0,773"
5210307,Israelândia (GO),0.28499999999999998,"0,125","0,360","0,370",0.71099999999999997,"0,831","0,652","0,664","0,430","0,802"
5210406,Itaberaí (GO),0.253,"0,104","0,345","0,311",0.71899999999999997,"0,828","0,610","0,735","0,450","0,711"
5210562,Itaguari (GO),0.317,"0,267","0,275","0,409",0.69299999999999995,"0,817","0,596","0,683","0,407","0,722"
5210604,Itaguaru (GO),0.247,"0,143","0,290","0,307",0.71799999999999997,"0,828","0,648","0,689","0,430","0,795"
5210802,Itajá (GO),0.24399999999999999,"0,074","0,336","0,323",0.69099999999999995,"0,835","0,570","0,692","0,419","0,664"
5210901,Itapaci (GO),0.32700000000000001,"0,302","0,359","0,319",0.72499999999999998,"0,844","0,626","0,720","0,461","0,729"
5211008,Itapirapuã (GO),0.32100000000000001,"0,169","0,406","0,389",0.67700000000000005,"0,816","0,568","0,670","0,338","0,736"
5211206,Itapuranga (GO),0.23200000000000001,"0,103","0,291","0,301",0.72599999999999998,"0,837","0,653","0,700","0,438","0,798"
5211305,Itarumã (GO),0.30399999999999999,"0,169","0,430","0,313",0.69299999999999995,"0,861","0,503","0,769","0,360","0,595"
5211404,Itauçu (GO),0.22900000000000001,"0,105","0,309","0,273",0.71799999999999997,"0,833","0,638","0,697","0,451","0,759"
5211503,Itumbiara (GO),0.21099999999999999,"0,110","0,281","0,242",0.752,"0,838","0,682","0,744","0,556","0,755"
5211602,Ivolândia (GO),0.24199999999999999,"0,062","0,352","0,313",0.70399999999999996,"0,825","0,622","0,680","0,393","0,783"
5211701,Jandaia (GO),0.29399999999999998,"0,282","0,258","0,342",0.70699999999999996,"0,821","0,625","0,690","0,432","0,752"
5211800,Jaraguá (GO),0.26,"0,062","0,383","0,334",0.69899999999999995,"0,841","0,588","0,692","0,426","0,691"
5211909,Jataí (GO),0.20699999999999999,"0,094","0,288","0,238",0.75700000000000001,"0,856","0,656","0,774","0,542","0,721"
5212006,Jaupaci (GO),0.248,"0,051","0,330","0,363",0.68899999999999995,"0,824","0,602","0,658","0,375","0,762"
5212055,Jesúpolis (GO),0.30299999999999999,"0,059","0,485","0,364",0.64900000000000002,"0,814","0,522","0,642","0,349","0,639"
5212105,Joviânia (GO),0.36399999999999999,"0,412","0,347","0,334",0.70599999999999996,"0,827","0,595","0,714","0,433","0,697"
