"nr_caf";"ds_tipo_area";"ds_tipo_unidade_medida";"nr_area";"cd_municipio";"sg_uf";"nm_municipio";"ds_tipo_localizacao_area";"ds_condicao_dominio";"st_imovel_principal";"nr_latitude";"nr_longitude"
2113;Terra;ha;2.00;"3200201";ES;Alegre;Rural;Parceiro/meeiro;true;-20.302019034446378;-40.057273507118225
2114;Terra;ha;13.00;"2504207";PB;Catingueira;Rural;Posseiro;true;-7.135283361437052;-37.61669933795929
2115;Terra;ha;1.00;"3146305";MG;Padre Paraíso;Rural;Comodatário;true;-17.058813081689504;-41.421925127506256
2116;Terra;ha;16.94;"3160306";MG;Santo Antônio do Jacinto;Rural;Posseiro;true;-16.57052036852622;-40.31395255241406
2117;Terra;ha;2.39;"2413300";RN;Serra de São Bento;Rural;Proprietário;true;-6.43722222;-35.75
2122;Terra;ha;9.34;"3200102";ES;Afonso Cláudio;Rural;Beneficiário/a do PNCF;true;-20.09901859870981;-41.032154436425216
2124;Terra;ha;15.18;"5208608";GO;Goianésia;Rural;Proprietário;true;-15.179600040632634;-49.208906292915344
2125;Terra;ha;5.05;"4104451";PR;Cantagalo;Rural;Proprietário;true;-25.32896;-52.05063
2126;Terra;ha;5.28;"4125704";PR;São Miguel do Iguaçu;Rural;Proprietário;false;-25.323195429111625;-54.21493007359402
2126;Terra;ha;5.26;"4125704";PR;São Miguel do Iguaçu;Rural;Proprietário;false;-25.32048796329687;-54.20985979974663
2126;Terra;ha;6.20;"4125704";PR;São Miguel do Iguaçu;Rural;Proprietário;true;-25.32118930060165;-54.21182656075184
2128;Terra;ha;299.00;"2201150";PI;Baixa Grande do Ribeiro;Rural;Posseiro;true;-8.61112;-45.354921
2129;Terra;ha;1.38;"2902807";BA;Barra da Estiva;Rural;Posseiro;false;-13.58777497;-41.29037781
2129;Terra;ha;3.65;"2902807";BA;Barra da Estiva;Rural;Posseiro;true;-13.62066948;-41.29856666
2132;Terra;ha;3.00;"3146305";MG;Padre Paraíso;Rural;Posseiro;true;-17.037388;-41.483794
2134;Terra;ha;4.64;"3102050";MG;Alto Caparaó;Rural;Proprietário;true;-20.480170300025193;-41.89910352230072
2135;Terra;ha;5.87;"2614600";PE;Tabira;Rural;Posseiro;true;-7.513889;37.565
2136;Terra;ha;2.86;"3146305";MG;Padre Paraíso;Rural;Posseiro;true;-17.03592;-41.483009
2137;Terra;ha;7.50;"4312385";RS;Monte Belo do Sul;Rural;Proprietário;true;-29.123744;-51.6496
2138;Terra;ha;4.84;"4104451";PR;Cantagalo;Rural;Comodatário;true;-25.38233;-52.06133
2139;Terra;ha;1.33;"4104451";PR;Cantagalo;Rural;Posseiro;false;-25.38611;-52.05815
2139;Terra;ha;10.19;"4104451";PR;Cantagalo;Rural;Proprietário;true;-25.378756;-52.0488
2142;Terra;ha;26.63;"5208608";GO;Goianésia;Rural;Assentado da reforma agrária;true;-15.295247232779085;-49.273772835731506
2143;Terra;ha;48.01;"2515500";PB;Serra Branca;Rural;Beneficiário/a do PNCF;true;-7.67111111;-36.74611111
2145;Terra;ha;11.50;"2612307";PE;Saloá;Rural;Posseiro;true;-9.03545081295728;-36.70187294483185
2147;Terra;ha;2.00;"2902807";BA;Barra da Estiva;Rural;Posseiro;true;-13.5851005;-41.23538752
2149;Terra;ha;2.50;"2515807";PB;Serra Redonda;Rural;Proprietário;true;-7.1475;-35.67777778
2151;Terra;ha;32.00;"2107902";MA;Passagem Franca;Rural;Posseiro;true;-6.301059499954969;-43.840540051460266
2153;Terra;ha;0.30;"2612307";PE;Saloá;Rural;Comodatário;true;-8.971738512601224;-36.66001952399859
2154;Terra;ha;3.00;"4212403";SC;Pedras Grandes;Rural;Comodatário;true;-28.47732767215344;-49.13084328174591
2154;Terra;ha;7.40;"4218707";SC;Tubarão;Rural;Parceiro/meeiro;false;-28.476781021081816;-49.130247831344604
2156;Terra;ha;0.43;"2900306";BA;Acajutiba;Rural;Comodatário;true;-11.665159;-38.019398
2159;Terra;ha;4.40;"2614600";PE;Tabira;Rural;Posseiro;true;-7.565278;-37.521111
2162;Terra;ha;3.00;"2615706";PE;Triunfo;Rural;Posseiro;true;-7.8058833;-38.0486111
2163;Terra;ha;13.79;"5300108";DF;Brasília;Rural;Assentado da reforma agrária;true;-15.556606;-47.481845
2167;Terra;ha;18.50;"3200136";ES;Águia Branca;Rural;Comodatário;true;-19.047606;-40.704677
2168;Terra;ha;10.00;"2612208";PE;Salgueiro;Rural;Uso Coletivo;true;-8.2701;-38.9229
2170;Terra;ha;5.15;"3200102";ES;Afonso Cláudio;Rural;Proprietário;true;41.057570693025276;20.19486129336028
2170;Terra;ha;4.18;"3200102";ES;Afonso Cláudio;Rural;Proprietário;false;-20.194861293;-41.05757
2171;Terra;ha;42.16;"4104600";PR;Capitão Leônidas Marques;Rural;Proprietário;true;-25.404922;-53.623447
2172;Terra;ha;32.00;"2605608";PE;Flores;Rural;Proprietário;true;-7.87414796546089;-37.99115717411041
2173;Terra;ha;5.25;"3102050";MG;Alto Caparaó;Rural;Proprietário;true;-20.499536085548314;-41.93327486515045
2175;Terra;ha;0.20;"2900306";BA;Acajutiba;Rural;Proprietário;true;-11.66204012470862;-38.01862299442291
2177;Terra;ha;1.00;"2614709";PE;Tacaimbó;Rural;Posseiro;true;-8.371727778;-36.28869444
2178;Terra;ha;36.30;"4316733";RS;Santa Cecília do Sul;Rural;Proprietário;true;28.119212;51.957345
2178;Terra;ha;10.40;"4316733";RS;Santa Cecília do Sul;Rural;Proprietário;false;28.123376;51.952453
2179;Terra;ha;0.60;"2612471";PE;Santa Cruz da Baixa Verde;Rural;Comodatário;true;-7.878120041037541;-38.19014202886162
2182;Terra;ha;1.00;"2612307";PE;Saloá;Rural;Posseiro;true;-8.940168953437759;-36.678752303123474
2183;Terra;ha;8.00;"4304952";RS;Caseiros;Rural;Arrendatário;true;-28.242006;-51.689119
2184;Terra;ha;3.00;"2611002";PE;Petrolândia;Rural;Posseiro;true;-8.831442066958768;-38.390870690345764
2184;Tanque;M³;84.00;"2611002";PE;Petrolândia;Rural;Permissionário de áreas públicas;false;-8.869444840199622;-38.459277749061584
2186;Terra;ha;2.04;"3553500";SP;Tapiraí;Rural;Arrendatário;true;-23.942884;-47.506342
2188;Terra;ha;8.25;"3102050";MG;Alto Caparaó;Rural;Arrendatário;true;-20.490819;-41.873026
2190;Terra;ha;27.60;"4316808";RS;Santa Cruz do Sul;Rural;Proprietário;true;-29.631862482613723;-52.3056560754776
2191;Terra;ha;1.07;"2612307";PE;Saloá;Rural;Proprietário;true;-8.975459457071302;-36.656736731529236
2193;Terra;ha;1.73;"4114807";PR;Marialva;Rural;Proprietário;true;-23.518480791947415;-51.805399008598336
2195;Terra;ha;2.00;"2500700";PB;São João do Rio do Peixe;Rural;Parceiro/meeiro;true;-6.87555555;-38.36805556
2196;Terra;ha;17.34;"2612307";PE;Saloá;Rural;Posseiro;true;-9.020579433143329;-36.72683894634247
2197;Terra;ha;1.00;"4316808";RS;Santa Cruz do Sul;Rural;Proprietário;false;-29.52;52.33
2197;Terra;ha;7.75;"4316808";RS;Santa Cruz do Sul;Rural;Proprietário;true;-29.518699352004788;-52.3409242201663
2198;Terra;ha;1.00;"3160306";MG;Santo Antônio do Jacinto;Rural;Comodatário;true;-16.534981851070686;-40.22251904010773
2199;Terra;ha;71.00;"4309902";RS;Ibiraiaras;Rural;Proprietário;true;-28.27363;-51.626465
2201;Terra;ha;10.10;"4204806";SC;Curitibanos;Rural;Proprietário;false;-27.105582;-50.699016
2201;Terra;ha;9.10;"4311700";RS;Machadinho;Rural;Proprietário;false;-27.506044;-51.683639
2201;Terra;ha;6.00;"4302303";RS;Bom Jesus;Rural;Proprietário;false;-28.466608;-50.342066
2201;Terra;ha;3.40;"4311700";RS;Machadinho;Rural;Proprietário;true;-27.505203;-51.683791
2203;Terra;ha;1.00;"2509800";PB;Mulungu;Rural;Comodatário;true;-6.95;-35.38583333
2204;Terra;ha;0.50;"2610509";PE;Passira;Rural;Comodatário;true;-7.98305555555555;-35.5713888888888
3195;Terra;ha;6.00;"2513307";PB;Santa Helena;Rural;Parceiro/meeiro;true;-6.423279;-38.392336
3196;Terra;ha;18.00;"3541307";SP;Presidente Epitácio;Rural;Proprietário;true;-21.664318480111806;-51.90450968927857
3197;Terra;ha;38.90;"4301958";RS;Barra Funda;Rural;Arrendatário;true;-27.94570604706653;-53.01302969455719
3198;Terra;ha;1.00;"2611002";PE;Petrolândia;Rural;Posseiro;true;-8.83004264809127;-38.39222252368927
3200;Terra;ha;4.00;"4312385";RS;Monte Belo do Sul;Rural;Comodatário;true;-29.113343;-51.669437
3202;Terra;ha;6.50;"4322533";RS;Vale do Sol;Rural;Proprietário;true;-29.715447;-52.608083
3203;Terra;ha;39.50;"4316808";RS;Santa Cruz do Sul;Rural;Comodatário;true;-29.65810163981875;-52.34041375566949
3209;Terra;ha;17.00;"3509106";SP;Caiuá;Rural;Assentado da reforma agrária;true;-21.644375142775605;-51.89677215633496
3211;Terra;ha;3.00;"4322533";RS;Vale do Sol;Rural;Comodatário;true;-29.588717;-52.720776
3213;Terra;ha;17.10;"5002704";MS;Campo Grande;Rural;Assentado da reforma agrária;true;-20.310522;-54.759432
3216;Terra;ha;4.00;"4317608";RS;Santo Antônio da Patrulha;Rural;Proprietário;true;-29.823028677041254;-50.43011976211419
4196;Terra;ha;8.61;"3200136";ES;Águia Branca;Rural;Proprietário;true;-19.081059468446785;-40.70907651846399
4197;Terra;ha;14.92;"3541307";SP;Presidente Epitácio;Rural;Proprietário;true;-21.68957991310215;-52.00003445148468
4198;Terra;ha;44.29;"5208608";GO;Goianésia;Rural;Assentado da reforma agrária;true;-15.32799690915423;-49.283815026283264
4199;Terra;ha;13.40;"4314605";RS;Piratini;Rural;Proprietário;true;-31.66803;-52.988465
4200;Terra;ha;8.00;"4312708";RS;Nonoai;Rural;Proprietário;false;-27.378426;-52.882525
4200;Terra;ha;5.00;"4309126";RS;Gramado dos Loureiros;Rural;Proprietário;false;-27.39269774773533;-52.89192259311676
4200;Terra;ha;5.08;"4309126";RS;Gramado dos Loureiros;Rural;Proprietário;false;-27.39577455605837;-52.89336025714874
4200;Terra;ha;5.27;"4309126";RS;Gramado dos Loureiros;Rural;Proprietário;true;-27.393511580848816;-52.89436876773834
4201;Terra;ha;2.00;"2615706";PE;Triunfo;Rural;Uso Coletivo;true;-7.810579;-38.067442
4202;Terra;ha;12.10;"4102752";PR;Bela Vista da Caroba;Rural;Comodatário;false;-25.898955;-53.687922
4202;Terra;ha;4.20;"4102752";PR;Bela Vista da Caroba;Rural;Comodatário;false;-25.906888;-53.676237
4202;Terra;ha;7.00;"4102752";PR;Bela Vista da Caroba;Rural;Comodatário;true;-25.898892;-53.691041
4205;Terra;ha;19.50;"4121406";PR;Realeza;Rural;Comodatário;true;-25.759755;-53.523517
4209;Terra;ha;17.00;"4320677";RS;Sinimbu;Rural;Proprietário;true;-29.52542;-52.455602
4210;Terra;ha;9.98;"4312955";RS;Nova Boa Vista;Rural;Proprietário;true;-27.987378;-52.982727
4212;Terra;ha;1.00;"2601201";PE;Arcoverde;Rural;Proprietário;true;-8.408057;-37.1216547
4213;Terra;ha;0.60;"2612307";PE;Saloá;Rural;Proprietário;true;-8.981534511224037;-36.66789185321952
4214;Terra;ha;1.00;"3201159";ES;Brejetuba;Rural;Parceiro/meeiro;true;-20.22482211781571;-41.263829
4216;Terra;ha;1.00;"2614709";PE;Tacaimbó;Rural;Comodatário;true;-8.37510278;-36.32333056
4222;Terra;ha;10.00;"5300108";DF;Brasília;Rural;Posseiro;true;-15.545973445986135;-48.03317606449127
4225;Terra;ha;11.37;"4104600";PR;Capitão Leônidas Marques;Rural;Arrendatário;true;-25.490689;-53.475794
4226;Terra;ha;5.00;"5300108";DF;Brasília;Rural;Parceiro/meeiro;true;-15.510757024589509;-15.510757024589509
4227;Terra;ha;7.02;"4316808";RS;Santa Cruz do Sul;Rural;Proprietário;true;-29.70817093452251;-52.33939826488495
4228;Terra;ha;9.68;"4104451";PR;Cantagalo;Rural;Comodatário;false;-25.156614;-52.143862
4228;Terra;ha;7.42;"4104451";PR;Cantagalo;Rural;Proprietário;true;-25.1574;-52.13981
4230;Terra;ha;17.67;"5208608";GO;Goianésia;Rural;Proprietário;true;-15.185708764787526;-49.262539744377136
4231;Terra;ha;8.50;"2610509";PE;Passira;Rural;Posseiro;true;-7.98222222;-35.54305556
4232;Terra;ha;2.50;"4304952";RS;Caseiros;Rural;Proprietário;true;-28.279090608889394;-51.72093451023102
