Cod_IBGE,Região,UF,Município,Cadinsan_absoluto_com_PBF,Cadinsan_absoluto_sem_PBF,Cadastros_Cadunico,Cadinsan_proporcional_com_PBF,Cadinsan_proporcional_sem_PBF
2604205,Nordeste,Pernambuco,Catende,1429,135,7788,"18,3%","1,7%"
3300803,Sudeste,Rio de Janeiro,Cachoeiras de Macacu,1424,2169,8856,"16,1%","24,5%"
1505064,Norte,Pará,Novo Reparti- mento,1420,5557,9530,"14,9%","58,3%"
1504950,Norte,Pará,Nova Esperança do Piriá,1416,2537,5051,"28,0%","50,2%"
2930204,Nordeste,Bahia,Sento Sé,1412,2292,7943,"17,8%","28,9%"
3516200,Sudeste,São Paulo,Franca,1405,1826,17243,"8,1%","10,6%"
1303403,Norte,Amazonas,Parintins,1396,11524,18044,"7,7%","63,9%"
2930105,Nordeste,Bahia,Senhor do Bonfim,1386,3426,15464,"9,0%","22,2%"
4316907,Sul,Rio Grande do Sul,Santa Maria,1383,2785,19702,"7,0%","14,1%"
4105805,Sul,Paraná,Colombo,1382,2322,19873,"7,0%","11,7%"
2706703,Nordeste,Alagoas,Penedo,1374,1845,11940,"11,5%","15,5%"
5107602,Centro-Oeste,Mato Grosso,Rondonópolis,1373,2642,25606,"5,4%","10,3%"
1301704,Norte,Amazonas,Humaitá,1362,5828,10232,"13,3%","57,0%"
4323002,Sul,Rio Grande do Sul,Viamão,1355,1702,18538,"7,3%","9,2%"
1200203,Norte,Acre,Cruzeiro do Sul,1353,4682,12103,"11,2%","38,7%"
2312908,Nordeste,Ceará,Sobral,1350,4245,21888,"6,2%","19,4%"
2107605,Nordeste,Maranhão,Palmeirândia,1339,1759,4889,"27,4%","36,0%"
1100122,Norte,Rondônia,Ji-Paraná,1335,3989,12039,"11,1%","33,1%"
2603504,Nordeste,Pernambuco,Camocim de São Félix,1331,102,5834,"22,8%","1,7%"
1501303,Norte,Pará,Barcarena,1330,7824,14411,"9,2%","54,3%"
2515302,Nordeste,Paraíba,Sapé,1327,215,10371,"12,8%","2,1%"
5003702,Centro-Oeste,Mato Grosso do Sul,Dourados,1326,2492,14668,"9,0%","17,0%"
3124104,Sudeste,Minas Gerais,Esmeraldas,1325,2619,11775,"11,3%","22,2%"
1503507,Norte,Pará,Irituia,1324,3523,5947,"22,3%","59,2%"
2932903,Nordeste,Bahia,Valença,1315,2235,11434,"11,5%","19,5%"
1502202,Norte,Pará,Capanema,1311,5545,9581,"13,7%","57,9%"
2103000,Nordeste,Maranhão,Caxias,1300,2043,14291,"9,1%","14,3%"
2312007,Nordeste,Ceará,Santana do Acaraú,1300,1543,4944,"26,3%","31,2%"
2907509,Nordeste,Bahia,Catu,1300,4138,10595,"12,3%","39,1%"
2707701,Nordeste,Alagoas,Rio Largo,1297,2037,13722,"9,5%","14,8%"
4104808,Sul,Paraná,Cascavel,1297,1958,25955,"5,0%","7,5%"
2929206,Nordeste,Bahia,São Francisco do Conde,1286,576,6552,"19,6%","8,8%"
5221858,Centro-Oeste,Goiás,Valparaíso de Goiás,1265,2015,18499,"6,8%","10,9%"
1500404,Norte,Pará,Alenquer,1263,5067,10208,"12,4%","49,6%"
3305208,Sudeste,Rio de Janeiro,São Pedro da Aldeia,1259,1809,10250,"12,3%","17,6%"
3537602,Sudeste,São Paulo,Peruíbe,1256,1810,8987,"14,0%","20,1%"
1501782,Norte,Pará,Breu Branco,1255,5569,10713,"11,7%","52,0%"
4119905,Sul,Paraná,Ponta Grossa,1254,2004,24051,"5,2%","8,3%"
3554102,Sudeste,São Paulo,Taubaté,1253,2039,14246,"8,8%","14,3%"
2510808,Nordeste,Paraíba,Patos,1249,3004,15044,"8,3%","20,0%"
2914000,Nordeste,Bahia,Ipirá,1248,2769,10728,"11,6%","25,8%"
2802106,Nordeste,Sergipe,Estância,1243,2110,11514,"10,8%","18,3%"
2928406,Nordeste,Bahia,Santa Rita de Cássia,1242,669,8096,"15,3%","8,3%"
1500206,Norte,Pará,Acará,1240,5974,9922,"12,5%","60,2%"
2605301,Nordeste,Pernambuco,Exu,1232,1509,7550,"16,3%","20,0%"
1502756,Norte,Pará,Concórdia do Pará,1231,2727,5540,"22,2%","49,2%"
1507201,Norte,Pará,São Domingos do Capim,1230,3442,5568,"22,1%","61,8%"
1506302,Norte,Pará,Salvaterra,1221,2205,4588,"26,6%","48,1%"
2601706,Nordeste,Pernambuco,Belo Jardim,1221,1646,12630,"9,7%","13,0%"
2605707,Nordeste,Pernambuco,Floresta,1219,1101,6070,"20,1%","18,1%"
3122306,Sudeste,Minas Gerais,Divinópolis,1216,1820,14646,"8,3%","12,4%"
4301602,Sul,Rio Grande do Sul,Bagé,1206,2120,14195,"8,5%","14,9%"
3538709,Sudeste,São Paulo,Piracicaba,1205,2179,17486,"6,9%","12,5%"
2313500,Nordeste,Ceará,Trairi,1200,2280,10382,"11,6%","22,0%"
1507300,Norte,Pará,São Félix do Xingu,1198,4196,8005,"15,0%","52,4%"
3135209,Sudeste,Minas Gerais,Januária,1196,1932,9466,"12,6%","20,4%"
2803500,Nordeste,Sergipe,Lagarto,1191,4972,17339,"6,9%","28,7%"
2302800,Nordeste,Ceará,Canindé,1187,3857,12527,"9,5%","30,8%"
2600302,Nordeste,Pernambuco,Agrestina,1187,253,7205,"16,5%","3,5%"
3170107,Sudeste,Minas Gerais,Uberaba,1186,1568,16023,"7,4%","9,8%"
1304203,Norte,Amazonas,Tefé,1179,8035,11756,"10,0%","68,3%"
2600708,Nordeste,Pernambuco,Aliança,1177,364,8279,"14,2%","4,4%"
