Cod_IBGE,Região,UF,Município,Cadinsan_absoluto_com_PBF,Cadinsan_absoluto_sem_PBF,Cadastros_Cadunico,Cadinsan_proporcional_com_PBF,Cadinsan_proporcional_sem_PBF
2501500,Nordeste,Paraíba,Bananeiras,579,1232,4081,"14,2%","30,2%"
2911907,Nordeste,Bahia,Iaçu,578,386,4068,"14,2%","9,5%"
2205508,Nordeste,Piauí,José de Freitas,577,1069,5950,"9,7%","18,0%"
2603108,Nordeste,Pernambuco,Cachoeirinha,576,2077,5479,"10,5%","37,9%"
3101508,Sudeste,Minas Gerais,Além Paraíba,575,721,4079,"14,1%","17,7%"
1501600,Norte,Pará,Bonito,574,1533,2540,"22,6%","60,4%"
2110609,Nordeste,Maranhão,São Bernardo,574,1306,5125,"11,2%","25,5%"
2500809,Nordeste,Paraíba,Araçagi,573,842,3037,"18,9%","27,7%"
2925253,Nordeste,Bahia,Ponto Novo,573,770,3585,"16,0%","21,5%"
3304755,Sudeste,Rio de Janeiro,São Francisco de Itabapoana,573,1321,7074,"8,1%","18,7%"
2915502,Nordeste,Bahia,Itajuípe,571,777,4146,"13,8%","18,7%"
2603207,Nordeste,Pernambuco,Caetés,570,476,4384,"13,0%","10,9%"
2109809,Nordeste,Maranhão,Santa Helena,569,1913,5707,"10,0%","33,5%"
2606101,Nordeste,Pernambuco,Glória do Goitá,568,1597,5758,"9,9%","27,7%"
2709152,Nordeste,Alagoas,Teotônio Vilela,568,713,6064,"9,4%","11,8%"
2910750,Nordeste,Bahia,Fátima,568,539,2918,"19,5%","18,5%"
2931301,Nordeste,Bahia,Tapiramutá,568,261,2837,"20,0%","9,2%"
1502707,Norte,Pará,Conceição do Araguaia,567,2066,5719,"9,9%","36,1%"
3509601,Sudeste,São Paulo,Campo Limpo Paulista,567,696,4684,"12,1%","14,9%"
1506351,Norte,Pará,Santa Bárbara do Pará,566,1383,3267,"17,3%","42,3%"
2609907,Nordeste,Pernambuco,Ouricuri,566,1541,10089,"5,6%","15,3%"
2511301,Nordeste,Paraíba,Piancó,565,1282,3860,"14,6%","33,2%"
2608008,Nordeste,Pernambuco,Jataúba,565,2398,5682,"9,9%","42,2%"
2708600,Nordeste,Alagoas,São Miguel dos Campos,565,2597,10848,"5,2%","23,9%"
2919702,Nordeste,Bahia,Macarani,564,592,3377,"16,7%","17,5%"
3205101,Sudeste,Espírito Santo,Viana,564,1215,7580,"7,4%","16,0%"
2306553,Nordeste,Ceará,Itarema,563,1662,6974,"8,1%","23,8%"
1301803,Norte,Amazonas,Ipixuna,561,1479,4072,"13,8%","36,3%"
2804201,Nordeste,Sergipe,Monte Alegre de Sergipe,561,938,3518,"15,9%","26,7%"
2702900,Nordeste,Alagoas,Girau do Pon- ciano,559,330,5229,"10,7%","6,3%"
2906824,Nordeste,Bahia,Canudos,558,959,3222,"17,3%","29,8%"
4100400,Sul,Paraná,Almirante Tamandaré,556,1031,9595,"5,8%","10,7%"
1100304,Norte,Rondônia,Vilhena,555,1999,8152,"6,8%","24,5%"
2200400,Nordeste,Piauí,Altos,555,1476,6087,"9,1%","24,2%"
2608057,Nordeste,Pernambuco,Jatobá,555,508,2210,"25,1%","23,0%"
2105427,Nordeste,Maranhão,Itinga do Mara- nhão,554,965,4870,"11,4%","19,8%"
3168705,Sudeste,Minas Gerais,Timóteo,554,889,4894,"11,3%","18,2%"
2306504,Nordeste,Ceará,Itapiúna,552,1627,5020,"11,0%","32,4%"
2704500,Nordeste,Alagoas,Maragogi,552,1413,5698,"9,7%","24,8%"
1400472,Norte,Roraima,Rorainópolis,551,1412,3155,"17,5%","44,8%"
2307007,Nordeste,Ceará,Jaguaruana,550,1672,6176,"8,9%","27,1%"
2603702,Nordeste,Pernambuco,Canhotinho,550,864,3946,"13,9%","21,9%"
2609501,Nordeste,Pernambuco,Nazaré da Mata,550,696,3925,"14,0%","17,7%"
2101905,Nordeste,Maranhão,Bequimão,549,1270,3903,"14,1%","32,5%"
2509107,Nordeste,Paraíba,Mari,549,687,3674,"14,9%","18,7%"
3507506,Sudeste,São Paulo,Botucatu,549,934,7632,"7,2%","12,2%"
3134400,Sudeste,Minas Gerais,Iturama,548,775,5432,"10,1%","14,3%"
3146107,Sudeste,Minas Gerais,Ouro Preto,547,869,5357,"10,2%","16,2%"
3303005,Sudeste,Rio de Janeiro,Miracema,547,796,3684,"14,8%","21,6%"
2802908,Nordeste,Sergipe,Itabaiana,545,2419,11887,"4,6%","20,3%"
2203701,Nordeste,Piauí,Esperantina,544,1408,6368,"8,5%","22,1%"
2609808,Nordeste,Pernambuco,Orocó,543,950,3932,"13,8%","24,2%"
1300029,Norte,Amazonas,Alvarães,542,2650,3476,"15,6%","76,2%"
1300409,Norte,Amazonas,Barcelos,541,2230,3053,"17,7%","73,0%"
2100709,Nordeste,Maranhão,Anajatuba,541,1459,5067,"10,7%","28,8%"
1508159,Norte,Pará,Uruará,540,3253,5736,"9,4%","56,7%"
2914653,Nordeste,Bahia,Itabela,539,288,4415,"12,2%","6,5%"
2932408,Nordeste,Bahia,Uibaí,539,374,2809,"19,2%","13,3%"
2305605,Nordeste,Ceará,Independência,538,1971,5852,"9,2%","33,7%"
1301159,Norte,Amazonas,Careiro da Várzea,537,2439,3490,"15,4%","69,9%"
2202703,Nordeste,Piauí,Cocal,537,1201,4533,"11,8%","26,5%"
2608750,Nordeste,Pernambuco,Lagoa Grande,537,833,4984,"10,8%","16,7%"
3542602,Sudeste,São Paulo,Registro,536,785,5898,"9,1%","13,3%"
2512101,Nordeste,Paraíba,Pombal,535,1218,5666,"9,4%","21,5%"
2923100,Nordeste,Bahia,Olindina,535,1188,4977,"10,7%","23,9%"
1300706,Norte,Amazonas,Boca do Acre,532,3759,6205,"8,6%","60,6%"
2306108,Nordeste,Ceará,Irauçuba,532,706,4115,"12,9%","17,2%"
1506112,Norte,Pará,Quatipuru,531,974,2065,"25,7%","47,2%"
2602100,Nordeste,Pernambuco,Bom Conselho,531,1222,6325,"8,4%","19,3%"
2919926,Nordeste,Bahia,Madre de Deus,531,241,2054,"25,9%","11,7%"
3524303,Sudeste,São Paulo,Jaboticabal,531,795,5231,"10,2%","15,2%"
2601052,Nordeste,Pernambuco,Araçoiaba,529,101,3189,"16,6%","3,2%"
3162922,Sudeste,Minas Gerais,São Joaquim de Bicas,528,809,4003,"13,2%","20,2%"
1505809,Norte,Pará,Portel,527,3999,9311,"5,7%","42,9%"
2312106,Nordeste,Ceará,Santana do Cariri,527,777,3562,"14,8%","21,8%"
2405801,Nordeste,Rio Grande do Norte,João Câmara,527,1092,4686,"11,2%","23,3%"
2924603,Nordeste,Bahia,Pindobaçu,527,819,4064,"13,0%","20,2%"
5003256,Centro-Oeste,Mato Grosso do Sul,Costa Rica,527,773,4612,"11,4%","16,8%"
2925907,Nordeste,Bahia,Quijingue,525,1502,5531,"9,5%","27,2%"
1505437,Norte,Pará,Ourilândia do Norte,524,1751,4281,"12,2%","40,9%"
3300233,Sudeste,Rio de Janeiro,Armação dos Búzios,524,764,4086,"12,8%","18,7%"
3301306,Sudeste,Rio de Janeiro,Casimiro de Abreu,523,823,4599,"11,4%","17,9%"
1506708,Norte,Pará,Santana do Araguaia,522,2793,5102,"10,2%","54,7%"
2306306,Nordeste,Ceará,Itapajé,522,1821,7553,"6,9%","24,1%"
2202604,Nordeste,Piauí,Castelo do Piauí,521,842,3554,"14,7%","23,7%"
2905305,Nordeste,Bahia,Cafarnaum,521,397,2690,"19,4%","14,8%"
3507605,Sudeste,São Paulo,Bragança Paulista,520,779,9046,"5,7%","8,6%"
2929909,Nordeste,Bahia,Seabra,519,931,3605,"14,4%","25,8%"
3104007,Sudeste,Minas Gerais,Araxá,519,756,7486,"6,9%","10,1%"
2916500,Nordeste,Bahia,Itapicuru,518,2123,6500,"8,0%","32,7%"
3136009,Sudeste,Minas Gerais,Joaíma,518,728,3141,"16,5%","23,2%"
3203502,Sudeste,Espírito Santo,Montanha,517,705,3750,"13,8%","18,8%"
4320008,Sul,Rio Grande do Sul,Sapucaia do Sul,517,852,9380,"5,5%","9,1%"
2303105,Nordeste,Ceará,Cariré,515,1102,3833,"13,4%","28,8%"
2402600,Nordeste,Rio Grande do Norte,Ceará-Mirim,514,1716,10012,"5,1%","17,1%"
1502509,Norte,Pará,Chaves,513,2096,3224,"15,9%","65,0%"
1600709,Norte,Amapá,Tartarugalzinho,513,1471,3333,"15,4%","44,1%"
2608701,Nordeste,Pernambuco,Lagoa dos Gatos,513,182,3778,"13,6%","4,8%"
2902401,Nordeste,Bahia,Aurelino Leal,512,633,2981,"17,2%","21,2%"
2108900,Nordeste,Maranhão,Poção de Pedras,511,1053,3578,"14,3%","29,4%"
2608404,Nordeste,Pernambuco,Jurema,511,1146,3831,"13,3%","29,9%"
4307708,Sul,Rio Grande do Sul,Esteio,510,730,8162,"6,2%","8,9%"
4103701,Sul,Paraná,Cambé,509,768,7761,"6,6%","9,9%"
2302008,Nordeste,Ceará,Barro,508,924,3635,"14,0%","25,4%"
2309201,Nordeste,Ceará,Nova Olinda,508,639,3293,"15,4%","19,4%"
2313302,Nordeste,Ceará,Tauá,507,1964,8404,"6,0%","23,4%"
2702108,Nordeste,Alagoas,Colônia Leopol- dina,507,675,4133,"12,3%","16,3%"
4316808,Sul,Rio Grande do Sul,Santa Cruz do Sul,507,1068,7137,"7,1%","15,0%"
2210656,Nordeste,Piauí,Sigefredo Pacheco,506,763,2214,"22,9%","34,5%"
2602209,Nordeste,Pernambuco,Bom Jardim,506,517,7239,"7,0%","7,1%"
1504901,Norte,Pará,Muaná,505,3664,5458,"9,3%","67,1%"
1507151,Norte,Pará,São Domingos do Araguaia,504,1402,3053,"16,5%","45,9%"
2933000,Nordeste,Bahia,Valente,504,1592,4901,"10,3%","32,5%"
2614709,Nordeste,Pernambuco,Tacaimbó,503,813,3012,"16,7%","27,0%"
2614857,Nordeste,Pernambuco,Tamandaré,503,429,5019,"10,0%","8,5%"
3121605,Sudeste,Minas Gerais,Diamantina,503,1069,5714,"8,8%","18,7%"
2604601,Nordeste,Pernambuco,Condado,502,352,3569,"14,1%","9,9%"
2903607,Nordeste,Bahia,Biritinga,502,1056,4152,"12,1%","25,4%"
1400605,Norte,Roraima,São Luiz,501,854,1862,"26,9%","45,9%"
5007901,Centro-Oeste,Mato Grosso do Sul,Sidrolândia,501,912,5460,"9,2%","16,7%"
1100106,Norte,Rondônia,Guajará-Mirim,500,2962,5375,"9,3%","55,1%"
5213103,Centro-Oeste,Goiás,Mineiros,500,727,6913,"7,2%","10,5%"
2506400,Nordeste,Paraíba,Gurinhém,499,122,3054,"16,3%","4,0%"
2100808,Nordeste,Maranhão,Anapurus,498,623,2834,"17,6%","22,0%"
1507458,Norte,Pará,São Geraldo do Araguaia,497,2421,4680,"10,6%","51,7%"
2109452,Nordeste,Maranhão,Raposa,497,1083,5030,"9,9%","21,5%"
4109609,Sul,Paraná,Guaratuba,497,1199,5865,"8,5%","20,4%"
2701407,Nordeste,Alagoas,Campo Alegre,496,619,5242,"9,5%","11,8%"
2704104,Nordeste,Alagoas,Lagoa da Canoa,496,362,3581,"13,9%","10,1%"
2506905,Nordeste,Paraíba,Itabaiana,495,1278,4963,"10,0%","25,8%"
2514503,Nordeste,Paraíba,São José de Piranhas,495,937,3543,"14,0%","26,4%"
3115300,Sudeste,Minas Gerais,Cataguases,494,1045,7105,"7,0%","14,7%"
1303601,Norte,Amazonas,Santa Isabel do Rio Negro,493,2025,2765,"17,8%","73,2%"
2603926,Nordeste,Pernambuco,Carnaubeira da Penha,493,241,2939,"16,8%","8,2%"
3100906,Sudeste,Minas Gerais,Águas Formosas,493,723,3267,"15,1%","22,1%"
1600253,Norte,Amapá,Itaubal,492,1447,2263,"21,7%","63,9%"
2208502,Nordeste,Piauí,Porto,490,974,3050,"16,1%","31,9%"
2614303,Nordeste,Pernambuco,Moreilândia,490,565,2627,"18,7%","21,5%"
2903805,Nordeste,Bahia,Boa Vista do Tupim,490,283,3969,"12,3%","7,1%"
3522307,Sudeste,São Paulo,Itapetininga,490,1518,10553,"4,6%","14,4%"
4303103,Sul,Rio Grande do Sul,Cachoeirinha,490,904,10399,"4,7%","8,7%"
2702306,Nordeste,Alagoas,Coruripe,489,1039,6903,"7,1%","15,1%"
3101607,Sudeste,Minas Gerais,Alfenas,489,1105,6501,"7,5%","17,0%"
2902302,Nordeste,Bahia,Aratuípe,487,652,1921,"25,4%","33,9%"
3526704,Sudeste,São Paulo,Leme,487,741,6528,"7,5%","11,4%"
1301654,Norte,Amazonas,Guajará,486,689,2947,"16,5%","23,4%"
2606606,Nordeste,Pernambuco,Ibimirim,486,637,4796,"10,1%","13,3%"
2800605,Nordeste,Sergipe,Barra dos Coqueiros,486,1137,4614,"10,5%","24,6%"
2108306,Nordeste,Maranhão,Penalva,485,1382,5377,"9,0%","25,7%"
2905206,Nordeste,Bahia,Caetité,485,2362,9473,"5,1%","24,9%"
2607703,Nordeste,Pernambuco,Itapetim,484,826,3405,"14,2%","24,3%"
2700706,Nordeste,Alagoas,Batalha,484,1462,4438,"10,9%","32,9%"
1508084,Norte,Pará,Tucumã,483,1752,5299,"9,1%","33,1%"
1504752,Norte,Pará,Mojuí dos Campos,482,1678,3183,"15,1%","52,7%"
2302305,Nordeste,Ceará,Bela Cruz,482,1098,4553,"10,6%","24,1%"
2612000,Nordeste,Pernambuco,Sairé,482,675,2698,"17,9%","25,0%"
3151800,Sudeste,Minas Gerais,Poços de Caldas,481,931,8741,"5,5%","10,7%"
3305000,Sudeste,Rio de Janeiro,São João da Barra,481,932,6254,"7,7%","14,9%"
2310407,Nordeste,Ceará,Paramoti,480,692,2209,"21,7%","31,3%"
1303304,Norte,Amazonas,Novo Aripuanã,478,2648,3862,"12,4%","68,6%"
2805802,Nordeste,Sergipe,Riachão do Dantas,478,1302,3873,"12,3%","33,6%"
3103405,Sudeste,Minas Gerais,Araçuaí,478,990,5229,"9,1%","18,9%"
2904753,Nordeste,Bahia,Buritirama,477,157,4195,"11,4%","3,7%"
3505609,Sudeste,São Paulo,Barrinha,477,530,3271,"14,6%","16,2%"
2914406,Nordeste,Bahia,Iraquara,476,960,4606,"10,3%","20,8%"
3148707,Sudeste,Minas Gerais,Pedra Azul,475,915,3905,"12,2%","23,4%"
2303931,Nordeste,Ceará,Choró,474,855,2967,"16,0%","28,8%"
2805505,Nordeste,Sergipe,Poço Verde,474,404,3654,"13,0%","11,1%"
3151206,Sudeste,Minas Gerais,Pirapora,474,1358,6700,"7,1%","20,3%"
3162500,Sudeste,Minas Gerais,São João del Rei,474,951,5738,"8,3%","16,6%"
3502101,Sudeste,São Paulo,Andradina,474,570,4176,"11,4%","13,6%"
3525904,Sudeste,São Paulo,Jundiaí,473,768,7702,"6,1%","10,0%"
3303708,Sudeste,Rio de Janeiro,Paraíba do Sul,472,1071,4929,"9,6%","21,7%"
3501608,Sudeste,São Paulo,Americana,472,782,7124,"6,6%","11,0%"
2300804,Nordeste,Ceará,Antonina do Norte,471,105,2122,"22,2%","4,9%"
3157203,Sudeste,Minas Gerais,Santa Bárbara,471,524,3438,"13,7%","15,2%"
2908606,Nordeste,Bahia,Conde,470,1142,5080,"9,3%","22,5%"
3302908,Sudeste,Rio de Janeiro,Miguel Pereira,470,602,3083,"15,2%","19,5%"
3520509,Sudeste,São Paulo,Indaiatuba,470,795,7595,"6,2%","10,5%"
4211900,Sul,Santa Catarina,Palhoça,470,793,9733,"4,8%","8,1%"
1508357,Norte,Pará,Vitória do Xingu,469,1297,3059,"15,3%","42,4%"
2907301,Nordeste,Bahia,Castro Alves,469,717,3451,"13,6%","20,8%"
2929107,Nordeste,Bahia,São Felipe,469,912,3529,"13,3%","25,8%"
5107040,Centro-Oeste,Mato Grosso,Primavera do Leste,469,772,6479,"7,2%","11,9%"
1303536,Norte,Amazonas,Presidente Figueiredo,468,2579,5815,"8,0%","44,4%"
2211209,Nordeste,Piauí,Uruçuí,468,354,3414,"13,7%","10,4%"
2806206,Nordeste,Sergipe,Salgado,468,1215,4675,"10,0%","26,0%"
1100809,Norte,Rondônia,Candeias do Jamari,467,2334,4841,"9,6%","48,2%"
1505031,Norte,Pará,Novo Progresso,467,1474,4184,"11,2%","35,2%"
1506104,Norte,Pará,Primavera,466,955,2381,"19,6%","40,1%"
5210406,Centro-Oeste,Goiás,Itaberaí,466,666,5986,"7,8%","11,1%"
2900900,Nordeste,Bahia,Almadina,464,28,2000,"23,2%","1,4%"
2917607,Nordeste,Bahia,Jaguaquara,464,1010,6439,"7,2%","15,7%"
1507904,Norte,Pará,Soure,463,2171,4471,"10,4%","48,6%"
2904852,Nordeste,Bahia,Cabaceiras do Paraguaçu,463,314,2736,"16,9%","11,5%"
2906907,Nordeste,Bahia,Caravelas,463,784,3934,"11,8%","19,9%"
4104204,Sul,Paraná,Campo Largo,463,750,7011,"6,6%","10,7%"
2112456,Nordeste,Maranhão,Turilândia,462,498,3358,"13,8%","14,8%"
3136652,Sudeste,Minas Gerais,Juatuba,461,774,3839,"12,0%","20,2%"
1505007,Norte,Pará,Nova Timboteua,460,1102,2008,"22,9%","54,9%"
2303907,Nordeste,Ceará,Chaval,460,82,2064,"22,3%","4,0%"
2102804,Nordeste,Maranhão,Carolina,459,363,4652,"9,9%","7,8%"
2503001,Nordeste,Paraíba,Caaporã,459,524,3738,"12,3%","14,0%"
2927002,Nordeste,Bahia,Rio Real,459,1607,5973,"7,7%","26,9%"
2304103,Nordeste,Ceará,Crateús,458,2211,9567,"4,8%","23,1%"
2512309,Nordeste,Paraíba,Princesa Isabel,458,337,4005,"11,4%","8,4%"
2922052,Nordeste,Bahia,Mulungu do Morro,457,619,2430,"18,8%","25,5%"
3513405,Sudeste,São Paulo,Cruzeiro,457,1185,4944,"9,2%","24,0%"
5205513,Centro-Oeste,Goiás,Cocalzinho de Goiás,457,819,3655,"12,5%","22,4%"
5208806,Centro-Oeste,Goiás,Goianira,457,774,6623,"6,9%","11,7%"
2305902,Nordeste,Ceará,Ipueiras,456,1560,6365,"7,2%","24,5%"
2929503,Nordeste,Bahia,São Sebastião do Passé,456,1286,4995,"9,1%","25,7%"
2910404,Nordeste,Bahia,Encruzilhada,455,791,3994,"11,4%","19,8%"
2927200,Nordeste,Bahia,Ruy Barbosa,455,1308,5495,"8,3%","23,8%"
3544103,Sudeste,São Paulo,Rio Grande da Serra,455,700,3856,"11,8%","18,2%"
1304237,Norte,Amazonas,Tonantins,454,2950,3713,"12,2%","79,5%"
2929800,Nordeste,Bahia,Saúde,454,196,2270,"20,0%","8,6%"
3518404,Sudeste,São Paulo,Guaratinguetá,454,540,5476,"8,3%","9,9%"
2201903,Nordeste,Piauí,Bom Jesus,453,543,3939,"11,5%","13,8%"
2927606,Nordeste,Bahia,Santa Brígida,453,353,2688,"16,9%","13,1%"
3107406,Sudeste,Minas Gerais,Bom Despacho,453,600,4455,"10,2%","13,5%"
5208608,Centro-Oeste,Goiás,Goianésia,453,750,5676,"8,0%","13,2%"
2200202,Nordeste,Piauí,Água Branca,452,969,3595,"12,6%","27,0%"
2610509,Nordeste,Pernambuco,Passira,452,774,4750,"9,5%","16,3%"
2801207,Nordeste,Sergipe,Canindé de São Francisco,452,1143,4421,"10,2%","25,9%"
3303955,Sudeste,Rio de Janeiro,Pinheiral,451,520,2672,"16,9%","19,5%"
3557105,Sudeste,São Paulo,Votuporanga,451,689,5460,"8,3%","12,6%"
2402204,Nordeste,Rio Grande do Norte,Canguaretama,450,490,4276,"10,5%","11,5%"
3135050,Sudeste,Minas Gerais,Jaíba,450,1143,6559,"6,9%","17,4%"
3152501,Sudeste,Minas Gerais,Pouso Alegre,450,1011,8663,"5,2%","11,7%"
3543303,Sudeste,São Paulo,Ribeirão Pires,449,699,5078,"8,8%","13,8%"
5200308,Centro-Oeste,Goiás,Alexânia,449,761,4019,"11,2%","18,9%"
5208905,Centro-Oeste,Goiás,Goiás,449,661,3101,"14,5%","21,3%"
1200344,Norte,Acre,Manoel Urbano,447,1650,3006,"14,9%","54,9%"
1304104,Norte,Amazonas,Tapauá,446,2304,3265,"13,7%","70,6%"
2611507,Nordeste,Pernambuco,Quipapá,446,371,3341,"13,3%","11,1%"
2900207,Nordeste,Bahia,Abaré,445,946,3378,"13,2%","28,0%"
2903102,Nordeste,Bahia,Barra do Rocha,445,58,2154,"20,7%","2,7%"
2912301,Nordeste,Bahia,Ibicuí,445,507,2907,"15,3%","17,4%"
3147907,Sudeste,Minas Gerais,Passos,445,634,6941,"6,4%","9,1%"
1506609,Norte,Pará,Santa Maria do Pará,444,2798,4472,"9,9%","62,6%"
2909208,Nordeste,Bahia,Coronel João Sá,444,1048,3458,"12,8%","30,3%"
3301405,Sudeste,Rio de Janeiro,Conceição de Macabu,444,559,2638,"16,8%","21,2%"
2930766,Nordeste,Bahia,Sítio do Quinto,443,553,1979,"22,4%","27,9%"
1506906,Norte,Pará,Santarém Novo,442,912,1691,"26,1%","53,9%"
2201770,Nordeste,Piauí,Boa Hora,442,638,1890,"23,4%","33,8%"
2909307,Nordeste,Bahia,Correntina,442,836,3903,"11,3%","21,4%"
2401453,Nordeste,Rio Grande do Norte,Baraúna,441,1170,4931,"8,9%","23,7%"
2911501,Nordeste,Bahia,Gongogi,441,171,2173,"20,3%","7,9%"
2932200,Nordeste,Bahia,Ubaitaba,441,925,4102,"10,8%","22,5%"
3531803,Sudeste,São Paulo,Monte Mor,441,1016,6544,"6,7%","15,5%"
3138401,Sudeste,Minas Gerais,Leopoldina,440,876,5485,"8,0%","16,0%"
2600401,Nordeste,Pernambuco,Água Preta,439,1318,6019,"7,3%","21,9%"
4101507,Sul,Paraná,Arapongas,439,704,8318,"5,3%","8,5%"
2305266,Nordeste,Ceará,Ibaretama,438,676,2800,"15,6%","24,1%"
2925006,Nordeste,Bahia,Planalto,438,982,5055,"8,7%","19,4%"
3132404,Sudeste,Minas Gerais,Itajubá,438,780,5959,"7,4%","13,1%"
2901205,Nordeste,Bahia,Anagé,437,1238,5192,"8,4%","23,8%"
2101301,Nordeste,Maranhão,Bacuri,436,673,2462,"17,7%","27,3%"
4104907,Sul,Paraná,Castro,436,806,6877,"6,3%","11,7%"
1503093,Norte,Pará,Goianésia do Pará,435,1898,4007,"10,9%","47,4%"
2107704,Nordeste,Maranhão,Paraibano,435,373,3847,"11,3%","9,7%"
2310258,Nordeste,Ceará,Paraipaba,435,1328,5114,"8,5%","26,0%"
2906873,Nordeste,Bahia,Capim Grosso,435,972,4534,"9,6%","21,4%"
4318002,Sul,Rio Grande do Sul,São Borja,435,697,4345,"10,0%","16,0%"
2307908,Nordeste,Ceará,Martinópole,434,326,2212,"19,6%","14,7%"
2927507,Nordeste,Bahia,Santa Bárbara,434,1247,4243,"10,2%","29,4%"
3170800,Sudeste,Minas Gerais,Várzea da Palma,434,836,3775,"11,5%","22,1%"
2926301,Nordeste,Bahia,Riachão do Jacuípe,432,2074,6373,"6,8%","32,5%"
2102101,Nordeste,Maranhão,Brejo,431,81,4695,"9,2%","1,7%"
4304507,Sul,Rio Grande do Sul,Canguçu,431,1082,3905,"11,0%","27,7%"
3136207,Sudeste,Minas Gerais,João Monlevade,430,560,3090,"13,9%","18,1%"
2310704,Nordeste,Ceará,Pentecoste,429,1229,4636,"9,3%","26,5%"
2400505,Nordeste,Rio Grande do Norte,Alexandria,429,552,2786,"15,4%","19,8%"
3136306,Sudeste,Minas Gerais,João Pinheiro,429,704,4910,"8,7%","14,3%"
3304706,Sudeste,Rio de Janeiro,Santo Antônio de Pádua,429,876,4855,"8,8%","18,0%"
1507961,Norte,Pará,Terra Alta,428,1445,2437,"17,6%","59,3%"
2303303,Nordeste,Ceará,Cariús,428,516,3368,"12,7%","15,3%"
2306702,Nordeste,Ceará,Jaguaretama,428,1313,4639,"9,2%","28,3%"
1300680,Norte,Amazonas,Boa Vista do Ramos,426,2999,3942,"10,8%","76,1%"
2705101,Nordeste,Alagoas,Matriz de Cama- ragibe,426,653,4126,"10,3%","15,8%"
3305604,Sudeste,Rio de Janeiro,Silva Jardim,426,755,3376,"12,6%","22,4%"
1300508,Norte,Amazonas,Barreirinha,425,3307,4815,"8,8%","68,7%"
3200904,Sudeste,Espírito Santo,Barra de São Francisco,425,619,4127,"10,3%","15,0%"
2507200,Nordeste,Paraíba,Itatuba,424,402,2293,"18,5%","17,5%"
3111200,Sudeste,Minas Gerais,Campo Belo,424,786,4040,"10,5%","19,5%"
3148509,Sudeste,Minas Gerais,Pavão,424,471,1786,"23,7%","26,4%"
2606903,Nordeste,Pernambuco,Iguaracy,423,223,3199,"13,2%","7,0%"
3545209,Sudeste,São Paulo,Salto,423,611,4971,"8,5%","12,3%"
3557006,Sudeste,São Paulo,Votorantim,423,619,5980,"7,1%","10,4%"
1506203,Norte,Pará,Salinópolis,422,3272,5314,"7,9%","61,6%"
2902708,Nordeste,Bahia,Barra,422,1465,7564,"5,6%","19,4%"
1100155,Norte,Rondônia,Ouro Preto do Oeste,421,1404,4437,"9,5%","31,6%"
1709302,Norte,Tocantins,Guaraí,421,1172,3057,"13,8%","38,3%"
2305704,Nordeste,Ceará,Ipaumirim,421,680,2431,"17,3%","28,0%"
3556503,Sudeste,São Paulo,Várzea Paulista,421,592,4901,"8,6%","12,1%"
2609303,Nordeste,Pernambuco,Mirandiba,420,656,2903,"14,5%","22,6%"
2932101,Nordeste,Bahia,Ubaíra,420,584,2751,"15,3%","21,2%"
2933505,Nordeste,Bahia,Wenceslau Guimarães,420,649,3223,"13,0%","20,1%"
1709500,Norte,Tocantins,Gurupi,419,1814,6347,"6,6%","28,6%"
2202455,Nordeste,Piauí,Capitão Gervá- sio Oliveira,419,591,1652,"25,4%","35,8%"
2611903,Nordeste,Pernambuco,Rio Formoso,419,96,3347,"12,5%","2,9%"
2904605,Nordeste,Bahia,Brumado,419,1198,6950,"6,0%","17,2%"
3304805,Sudeste,Rio de Janeiro,São Fidélis,419,1177,4930,"8,5%","23,9%"
1507508,Norte,Pará,São João do Araguaia,418,998,2930,"14,3%","34,1%"
2111607,Nordeste,Maranhão,São Raimundo das Manga- beiras,418,672,2938,"14,2%","22,9%"
2304251,Nordeste,Ceará,Cruz,418,924,4165,"10,0%","22,2%"
2314003,Nordeste,Ceará,Várzea Alegre,418,2348,7635,"5,5%","30,8%"
2613305,Nordeste,Pernambuco,São Joaquim do Monte,418,773,3844,"10,9%","20,1%"
2913507,Nordeste,Bahia,Iguaí,418,463,3831,"10,9%","12,1%"
2801306,Nordeste,Sergipe,Capela,417,521,4284,"9,7%","12,2%"
5100250,Centro-Oeste,Mato Grosso,Alta Floresta,416,723,6299,"6,6%","11,5%"
5101704,Centro-Oeste,Mato Grosso,Barra do Bugres,416,569,3638,"11,4%","15,6%"
2605004,Nordeste,Pernambuco,Cupira,415,1459,5457,"7,6%","26,7%"
2903300,Nordeste,Bahia,Barro Preto,415,505,1931,"21,5%","26,2%"
2414407,Nordeste,Rio Grande do Norte,Touros,414,1332,4944,"8,4%","26,9%"
2512903,Nordeste,Paraíba,Rio Tinto,414,701,3682,"11,2%","19,0%"
2903409,Nordeste,Bahia,Belmonte,414,1315,4755,"8,7%","27,7%"
4115705,Sul,Paraná,Matinhos,413,642,4281,"9,6%","15,0%"
5104807,Centro-Oeste,Mato Grosso,Jaciara,413,536,3479,"11,9%","15,4%"
1400407,Norte,Roraima,Normandia,411,965,2733,"15,0%","35,3%"
2929008,Nordeste,Bahia,São Félix,411,58,1943,"21,2%","3,0%"
3160702,Sudeste,Minas Gerais,Santos Dumont,411,756,3863,"10,6%","19,6%"
1200427,Norte,Acre,Rodrigues Alves,410,2044,3013,"13,6%","67,8%"
2205953,Nordeste,Piauí,Marcolândia,409,369,2010,"20,3%","18,4%"
